time,topic,payload
16,ecu,"{""sec"":16,""usec"":509971,""ect"":2.86132812500000,""tps"":0,""iap"":4.9572753910000000,""gp"":1.11328125000000}"
22,rpm,"{""sec"":16,""usec"":510863,""rpm"":0}"
31,rpm,"{""sec"":16,""usec"":558645,""rpm"":0}"
53,stroke/front,"{""sec"":16,""usec"":580192,""left"":0.013696289000000000,""right"":0.0080566410000000000}"
85,acc,"{""sec"":16,""usec"":581803,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
93,water,"{""sec"":16,""usec"":608771,""inlet_temp"":0,""outlet_temp"":0}"
101,stroke/rear,"{""sec"":16,""usec"":609093,""right"":0,""left"":0}"
114,ecu,"{""sec"":16,""usec"":609466,""ect"":2.8649902340000000,""tps"":0,""iap"":4.9658203120000000,""gp"":1.1206054690000000}"
119,rpm,"{""sec"":16,""usec"":610537,""rpm"":0}"
131,rpm,"{""sec"":16,""usec"":658695,""rpm"":0}"
154,stroke/front,"{""sec"":16,""usec"":680376,""left"":0.013696289000000000,""right"":0.0096679690000000000}"
185,acc,"{""sec"":16,""usec"":681989,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
193,water,"{""sec"":16,""usec"":708816,""inlet_temp"":0,""outlet_temp"":0}"
201,stroke/rear,"{""sec"":16,""usec"":709141,""right"":0,""left"":0}"
214,ecu,"{""sec"":16,""usec"":709526,""ect"":2.8625488280000000,""tps"":0,""iap"":4.9584960940000000,""gp"":1.0852050780000000}"
220,rpm,"{""sec"":16,""usec"":710596,""rpm"":0}"
232,rpm,"{""sec"":16,""usec"":758737,""rpm"":0}"
254,stroke/front,"{""sec"":16,""usec"":780558,""left"":0.013696289000000000,""right"":0.0080566410000000000}"
286,acc,"{""sec"":16,""usec"":782159,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
296,water,"{""sec"":16,""usec"":808859,""inlet_temp"":0,""outlet_temp"":0}"
304,stroke/rear,"{""sec"":16,""usec"":809180,""right"":3.2991943360000000,""left"":3.2991943360000000}"
319,ecu,"{""sec"":16,""usec"":810081,""ect"":2.8637695310000000,""tps"":0.0012207030000000000,""iap"":4.9621582030000000,""gp"":1.1206054690000000}"
325,rpm,"{""sec"":16,""usec"":811338,""rpm"":0}"
332,rpm,"{""sec"":16,""usec"":858782,""rpm"":0}"
354,stroke/front,"{""sec"":16,""usec"":880743,""left"":0.013696289000000000,""right"":0.012084961000000000}"
386,acc,"{""sec"":16,""usec"":882350,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
394,water,"{""sec"":16,""usec"":908902,""inlet_temp"":0,""outlet_temp"":0}"
401,stroke/rear,"{""sec"":16,""usec"":909224,""right"":0,""left"":0}"
416,ecu,"{""sec"":16,""usec"":909594,""ect"":2.8649902340000000,""tps"":0,""iap"":4.9536132810000000,""gp"":1.4611816410000000}"
420,rpm,"{""sec"":16,""usec"":910642,""rpm"":0}"
434,rpm,"{""sec"":16,""usec"":958824,""rpm"":0}"
455,stroke/front,"{""sec"":16,""usec"":980923,""left"":0.014501953000000000,""right"":0.010473633000000000}"
491,acc,"{""sec"":16,""usec"":982552,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
495,water,"{""sec"":17,""usec"":8947,""inlet_temp"":0,""outlet_temp"":0}"
505,stroke/rear,"{""sec"":17,""usec"":9264,""right"":3.2991943360000000,""left"":3.2991943360000000}"
517,ecu,"{""sec"":17,""usec"":10167,""ect"":2.8588867190000000,""tps"":0,""iap"":4.9621582030000000,""gp"":1.46484375000000}"
523,rpm,"{""sec"":17,""usec"":11133,""rpm"":0}"
531,rpm,"{""sec"":17,""usec"":58869,""rpm"":0}"
554,stroke/front,"{""sec"":17,""usec"":81110,""left"":0.010473633000000000,""right"":0.0072509770000000000}"
