time,topic,payload
64,stroke/front,"{""sec"":16,""usec"":179487,""left"":0.062841797000000000,""right"":0.35529785200000000}"
95,acc,"{""sec"":16,""usec"":181078,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
107,water,"{""sec"":16,""usec"":208038,""inlet_temp"":297.82193787400000,""outlet_temp"":295.27410713100000}"
117,stroke/rear,"{""sec"":16,""usec"":208929,""right"":0.47373046900000000,""left"":0.28278808600000000}"
126,ecu,"{""sec"":16,""usec"":209837,""ect"":0,""tps"":0,""iap"":0,""gp"":0}"
132,rpm,"{""sec"":16,""usec"":210193,""rpm"":0}"
141,rpm,"{""sec"":16,""usec"":257942,""rpm"":0}"
164,stroke/front,"{""sec"":16,""usec"":279674,""left"":0.063647461000000000,""right"":0.36013183600000000}"
196,acc,"{""sec"":16,""usec"":281253,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
207,water,"{""sec"":16,""usec"":308079,""inlet_temp"":298.96205427500000,""outlet_temp"":298.96205427500000}"
218,stroke/rear,"{""sec"":16,""usec"":308981,""right"":0.47050781200000000,""left"":0.28601074200000000}"
226,ecu,"{""sec"":16,""usec"":309898,""ect"":0,""tps"":0,""iap"":0,""gp"":0}"
232,rpm,"{""sec"":16,""usec"":310246,""rpm"":0}"
242,rpm,"{""sec"":16,""usec"":357986,""rpm"":0}"
264,stroke/front,"{""sec"":16,""usec"":379855,""left"":0.0644531250000000,""right"":0.35610351600000000}"
296,acc,"{""sec"":16,""usec"":381360,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
307,water,"{""sec"":16,""usec"":408122,""inlet_temp"":298.96205427500000,""outlet_temp"":297.74476703200000}"
318,stroke/rear,"{""sec"":16,""usec"":409046,""right"":0.47292480500000000,""left"":0.28762207000000000}"
326,ecu,"{""sec"":16,""usec"":409941,""ect"":0,""tps"":0,""iap"":0,""gp"":0}"
334,rpm,"{""sec"":16,""usec"":410293,""rpm"":0}"
344,rpm,"{""sec"":16,""usec"":458027,""rpm"":0}"
369,stroke/front,"{""sec"":16,""usec"":480038,""left"":0.0644531250000000,""right"":0.35368652300000000}"
396,acc,"{""sec"":16,""usec"":481540,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
408,water,"{""sec"":16,""usec"":508161,""inlet_temp"":299.11167277700000,""outlet_temp"":297.82193787400000}"
418,stroke/rear,"{""sec"":16,""usec"":509064,""right"":0.47292480500000000,""left"":0.28278808600000000}"
426,ecu,"{""sec"":16,""usec"":509974,""ect"":0,""tps"":0,""iap"":0,""gp"":0}"
433,rpm,"{""sec"":16,""usec"":510334,""rpm"":0}"
444,rpm,"{""sec"":16,""usec"":558067,""rpm"":0}"
464,stroke/front,"{""sec"":16,""usec"":580221,""left"":0.062841797000000000,""right"":0.35529785200000000}"
496,acc,"{""sec"":16,""usec"":581795,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
508,water,"{""sec"":16,""usec"":608201,""inlet_temp"":296.48912917500000,""outlet_temp"":297.74476703200000}"
518,stroke/rear,"{""sec"":16,""usec"":609089,""right"":0.46647949200000000,""left"":0.28037109400000000}"
526,ecu,"{""sec"":16,""usec"":609997,""ect"":0,""tps"":0,""iap"":0,""gp"":0}"
532,rpm,"{""sec"":16,""usec"":610348,""rpm"":0}"
543,rpm,"{""sec"":16,""usec"":658110,""rpm"":0}"
565,stroke/front,"{""sec"":16,""usec"":680406,""left"":0.062841797000000000,""right"":0.36013183600000000}"
