time,topic,payload
729,acc,"{""sec"":16,""usec"":882285,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
737,water,"{""sec"":16,""usec"":908948,""inlet_temp"":0,""outlet_temp"":0}"
745,stroke/rear,"{""sec"":16,""usec"":909268,""right"":0,""left"":0}"
758,ecu,"{""sec"":16,""usec"":909647,""ect"":2.8430175780000000,""tps"":0,""iap"":2.8405761720000000,""gp"":0.88745117200000000}"
763,rpm,"{""sec"":16,""usec"":910726,""rpm"":0}"
774,rpm,"{""sec"":16,""usec"":958872,""rpm"":0}"
797,stroke/front,"{""sec"":16,""usec"":980838,""left"":0.020141602000000000,""right"":0.0064453120000000000}"
829,acc,"{""sec"":16,""usec"":982470,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
837,water,"{""sec"":17,""usec"":8997,""inlet_temp"":0,""outlet_temp"":0}"
848,stroke/rear,"{""sec"":17,""usec"":9315,""right"":3.2991943360000000,""left"":3.2991943360000000}"
860,ecu,"{""sec"":17,""usec"":10227,""ect"":2.8479003910000000,""tps"":0,""iap"":2.8393554690000000,""gp"":0.88745117200000000}"
866,rpm,"{""sec"":17,""usec"":11293,""rpm"":0}"
874,rpm,"{""sec"":17,""usec"":58919,""rpm"":0}"
898,stroke/front,"{""sec"":17,""usec"":81023,""left"":0.016918945000000000,""right"":0.0040283200000000000}"
929,acc,"{""sec"":17,""usec"":82617,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
937,water,"{""sec"":17,""usec"":109042,""inlet_temp"":0,""outlet_temp"":0}"
948,stroke/rear,"{""sec"":17,""usec"":109363,""right"":3.2991943360000000,""left"":3.2991943360000000}"
962,ecu,"{""sec"":17,""usec"":110276,""ect"":2.8479003910000000,""tps"":0.0012207030000000000,""iap"":2.8393554690000000,""gp"":0.88745117200000000}"
968,rpm,"{""sec"":17,""usec"":111552,""rpm"":0}"
975,rpm,"{""sec"":17,""usec"":158961,""rpm"":0}"
998,stroke/front,"{""sec"":17,""usec"":181205,""left"":0.024975586000000000,""right"":0.0040283200000000000}"
1030,acc,"{""sec"":17,""usec"":182847,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1038,water,"{""sec"":17,""usec"":209084,""inlet_temp"":0,""outlet_temp"":0}"
1048,stroke/rear,"{""sec"":17,""usec"":209411,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1061,ecu,"{""sec"":17,""usec"":210340,""ect"":2.8466796880000000,""tps"":0,""iap"":2.8405761720000000,""gp"":0.88745117200000000}"
1067,rpm,"{""sec"":17,""usec"":211388,""rpm"":0}"
1075,rpm,"{""sec"":17,""usec"":259006,""rpm"":0}"
1098,stroke/front,"{""sec"":17,""usec"":281388,""left"":0.027392578000000000,""right"":0.0032226560000000000}"
1130,acc,"{""sec"":17,""usec"":282972,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1138,water,"{""sec"":17,""usec"":309129,""inlet_temp"":0,""outlet_temp"":0}"
1148,stroke/rear,"{""sec"":17,""usec"":309460,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1161,ecu,"{""sec"":17,""usec"":310375,""ect"":2.8442382810000000,""tps"":0,""iap"":2.84179687500000,""gp"":0.88745117200000000}"
1167,rpm,"{""sec"":17,""usec"":311354,""rpm"":0}"
1175,rpm,"{""sec"":17,""usec"":359050,""rpm"":0}"
1198,stroke/front,"{""sec"":17,""usec"":381570,""left"":0.018530273000000000,""right"":0.0040283200000000000}"
1230,acc,"{""sec"":17,""usec"":383170,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1238,water,"{""sec"":17,""usec"":409176,""inlet_temp"":0,""outlet_temp"":0}"
1249,stroke/rear,"{""sec"":17,""usec"":409502,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1261,ecu,"{""sec"":17,""usec"":410425,""ect"":2.8466796880000000,""tps"":0,""iap"":2.8405761720000000,""gp"":0.88623046900000000}"
1267,rpm,"{""sec"":17,""usec"":411478,""rpm"":0}"
1275,rpm,"{""sec"":17,""usec"":459097,""rpm"":0}"
1298,stroke/front,"{""sec"":17,""usec"":481754,""left"":0.024975586000000000,""right"":0.0048339840000000000}"
1330,acc,"{""sec"":17,""usec"":483379,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1338,water,"{""sec"":17,""usec"":509221,""inlet_temp"":0,""outlet_temp"":0}"
1347,stroke/rear,"{""sec"":17,""usec"":509544,""right"":0,""left"":0}"
1359,ecu,"{""sec"":17,""usec"":509922,""ect"":2.8454589840000000,""tps"":0,""iap"":2.8381347660000000,""gp"":0.88745117200000000}"
1365,rpm,"{""sec"":17,""usec"":510997,""rpm"":0}"
1375,rpm,"{""sec"":17,""usec"":559140,""rpm"":0}"
1399,stroke/front,"{""sec"":17,""usec"":581936,""left"":0.035449219000000000,""right"":0.0048339840000000000}"
1433,acc,"{""sec"":17,""usec"":583552,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1439,water,"{""sec"":17,""usec"":609265,""inlet_temp"":0,""outlet_temp"":0}"
1449,stroke/rear,"{""sec"":17,""usec"":609585,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1462,ecu,"{""sec"":17,""usec"":610501,""ect"":2.8454589840000000,""tps"":0,""iap"":2.8344726560000000,""gp"":0.888671875000000}"
1467,rpm,"{""sec"":17,""usec"":611462,""rpm"":0}"
1475,rpm,"{""sec"":17,""usec"":659185,""rpm"":0}"
1499,stroke/front,"{""sec"":17,""usec"":682120,""left"":0.013696289000000000,""right"":0.0032226560000000000}"
1530,acc,"{""sec"":17,""usec"":683726,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1539,water,"{""sec"":17,""usec"":709308,""inlet_temp"":0,""outlet_temp"":0}"
1546,stroke/rear,"{""sec"":17,""usec"":709627,""right"":0,""left"":0}"
1561,ecu,"{""sec"":17,""usec"":710009,""ect"":2.8454589840000000,""tps"":0.0012207030000000000,""iap"":2.84179687500000,""gp"":0.88623046900000000}"
1566,rpm,"{""sec"":17,""usec"":711244,""rpm"":0}"
1575,rpm,"{""sec"":17,""usec"":759229,""rpm"":0}"
1599,stroke/front,"{""sec"":17,""usec"":782302,""left"":0.020947266000000000,""right"":0.0032226560000000000}"
1631,acc,"{""sec"":17,""usec"":783950,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1639,water,"{""sec"":17,""usec"":809351,""inlet_temp"":0,""outlet_temp"":0}"
1646,stroke/rear,"{""sec"":17,""usec"":809671,""right"":0,""left"":0}"
1659,ecu,"{""sec"":17,""usec"":810051,""ect"":2.8466796880000000,""tps"":0,""iap"":2.8381347660000000,""gp"":0.88623046900000000}"
1665,rpm,"{""sec"":17,""usec"":811150,""rpm"":0}"
1675,rpm,"{""sec"":17,""usec"":859274,""rpm"":0}"
1699,stroke/front,"{""sec"":17,""usec"":882484,""left"":0.012084961000000000,""right"":0.0016113280000000000}"
1731,acc,"{""sec"":17,""usec"":884118,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1739,water,"{""sec"":17,""usec"":909396,""inlet_temp"":0,""outlet_temp"":0}"
1749,stroke/rear,"{""sec"":17,""usec"":909718,""right"":0,""left"":0}"
1761,ecu,"{""sec"":17,""usec"":910097,""ect"":2.8454589840000000,""tps"":0,""iap"":2.8381347660000000,""gp"":0.88989257800000000}"
1765,rpm,"{""sec"":17,""usec"":911181,""rpm"":0}"
1775,rpm,"{""sec"":17,""usec"":959314,""rpm"":0}"
1802,stroke/front,"{""sec"":17,""usec"":982669,""left"":0.0088623050000000000,""right"":0.0040283200000000000}"
1834,acc,"{""sec"":17,""usec"":984306,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1839,water,"{""sec"":18,""usec"":9437,""inlet_temp"":0,""outlet_temp"":0}"
1850,stroke/rear,"{""sec"":18,""usec"":9753,""right"":3.2991943360000000,""left"":3.2991943360000000}"
