time,topic,payload
69,stroke/front,"{""sec"":16,""usec"":279651,""left"":0.014501953000000000,""right"":0.0088623050000000000}"
101,acc,"{""sec"":16,""usec"":281260,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
109,water,"{""sec"":16,""usec"":308645,""inlet_temp"":0,""outlet_temp"":0}"
119,stroke/rear,"{""sec"":16,""usec"":308967,""right"":3.2991943360000000,""left"":3.2991943360000000}"
134,ecu,"{""sec"":16,""usec"":309898,""ect"":2.8527832030000000,""tps"":0.012207031000000000,""iap"":2.8405761720000000,""gp"":2.3901367190000000}"
140,rpm,"{""sec"":16,""usec"":311167,""rpm"":0}"
147,rpm,"{""sec"":16,""usec"":358565,""rpm"":0}"
169,stroke/front,"{""sec"":16,""usec"":379833,""left"":0.010473633000000000,""right"":0.0072509770000000000}"
203,acc,"{""sec"":16,""usec"":381456,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
210,water,"{""sec"":16,""usec"":408689,""inlet_temp"":0,""outlet_temp"":0}"
217,stroke/rear,"{""sec"":16,""usec"":409016,""right"":0,""left"":0}"
231,ecu,"{""sec"":16,""usec"":409391,""ect"":2.85156250000000,""tps"":0.013427734000000000,""iap"":2.8405761720000000,""gp"":2.3913574220000000}"
237,rpm,"{""sec"":16,""usec"":410615,""rpm"":0}"
247,rpm,"{""sec"":16,""usec"":458612,""rpm"":0}"
269,stroke/front,"{""sec"":16,""usec"":480015,""left"":0.0048339840000000000,""right"":0.010473633000000000}"
303,acc,"{""sec"":16,""usec"":481627,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
309,water,"{""sec"":16,""usec"":508734,""inlet_temp"":0,""outlet_temp"":0}"
320,stroke/rear,"{""sec"":16,""usec"":509057,""right"":3.2991943360000000,""left"":3.2991943360000000}"
332,ecu,"{""sec"":16,""usec"":509964,""ect"":2.8527832030000000,""tps"":0,""iap"":2.84179687500000,""gp"":2.3913574220000000}"
341,rpm,"{""sec"":16,""usec"":510934,""rpm"":0}"
350,rpm,"{""sec"":16,""usec"":558655,""rpm"":0}"
370,stroke/front,"{""sec"":16,""usec"":580198,""left"":0.0088623050000000000,""right"":0.0056396480000000000}"
404,acc,"{""sec"":16,""usec"":581829,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
410,water,"{""sec"":16,""usec"":608778,""inlet_temp"":0,""outlet_temp"":0}"
420,stroke/rear,"{""sec"":16,""usec"":609100,""right"":3.2991943360000000,""left"":3.2991943360000000}"
434,ecu,"{""sec"":16,""usec"":610012,""ect"":2.8540039060000000,""tps"":0,""iap"":2.8430175780000000,""gp"":2.39257812500000}"
439,rpm,"{""sec"":16,""usec"":610976,""rpm"":0}"
448,rpm,"{""sec"":16,""usec"":658701,""rpm"":0}"
470,stroke/front,"{""sec"":16,""usec"":680381,""left"":0.0072509770000000000,""right"":0.0080566410000000000}"
501,acc,"{""sec"":16,""usec"":682009,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
511,water,"{""sec"":16,""usec"":708824,""inlet_temp"":0,""outlet_temp"":0}"
519,stroke/rear,"{""sec"":16,""usec"":709148,""right"":0,""left"":0}"
531,ecu,"{""sec"":16,""usec"":709529,""ect"":2.8564453120000000,""tps"":0,""iap"":2.84179687500000,""gp"":2.3913574220000000}"
536,rpm,"{""sec"":16,""usec"":710523,""rpm"":0}"
547,rpm,"{""sec"":16,""usec"":758745,""rpm"":0}"
571,stroke/front,"{""sec"":16,""usec"":780567,""left"":0.0096679690000000000,""right"":0.0072509770000000000}"
607,acc,"{""sec"":16,""usec"":782189,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
610,water,"{""sec"":16,""usec"":808867,""inlet_temp"":0,""outlet_temp"":0}"
620,stroke/rear,"{""sec"":16,""usec"":809184,""right"":3.2991943360000000,""left"":3.2991943360000000}"
639,ecu,"{""sec"":16,""usec"":810100,""ect"":2.8503417970000000,""tps"":0.0024414060000000000,""iap"":2.8405761720000000,""gp"":2.39257812500000}"
641,rpm,"{""sec"":16,""usec"":811281,""rpm"":0}"
647,rpm,"{""sec"":16,""usec"":858791,""rpm"":0}"
670,stroke/front,"{""sec"":16,""usec"":880750,""left"":0.0096679690000000000,""right"":0.0096679690000000000}"
702,acc,"{""sec"":16,""usec"":882349,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
710,water,"{""sec"":16,""usec"":908914,""inlet_temp"":0,""outlet_temp"":0}"
718,stroke/rear,"{""sec"":16,""usec"":909235,""right"":0,""left"":0}"
730,ecu,"{""sec"":16,""usec"":909610,""ect"":2.8503417970000000,""tps"":0,""iap"":2.8381347660000000,""gp"":2.3913574220000000}"
736,rpm,"{""sec"":16,""usec"":910678,""rpm"":0}"
747,rpm,"{""sec"":16,""usec"":958839,""rpm"":0}"
770,stroke/front,"{""sec"":16,""usec"":980932,""left"":0.0080566410000000000,""right"":0.0056396480000000000}"
802,acc,"{""sec"":16,""usec"":982545,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
810,water,"{""sec"":17,""usec"":8962,""inlet_temp"":0,""outlet_temp"":0}"
820,stroke/rear,"{""sec"":17,""usec"":9284,""right"":3.2991943360000000,""left"":3.2991943360000000}"
833,ecu,"{""sec"":17,""usec"":10190,""ect"":2.8466796880000000,""tps"":0,""iap"":2.8393554690000000,""gp"":2.39257812500000}"
839,rpm,"{""sec"":17,""usec"":11151,""rpm"":0}"
847,rpm,"{""sec"":17,""usec"":58885,""rpm"":0}"
870,stroke/front,"{""sec"":17,""usec"":81115,""left"":0.010473633000000000,""right"":0.0080566410000000000}"
902,acc,"{""sec"":17,""usec"":82734,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
910,water,"{""sec"":17,""usec"":109007,""inlet_temp"":0,""outlet_temp"":0}"
918,stroke/rear,"{""sec"":17,""usec"":109328,""right"":0,""left"":0}"
930,ecu,"{""sec"":17,""usec"":109699,""ect"":2.8527832030000000,""tps"":0,""iap"":2.8430175780000000,""gp"":2.3901367190000000}"
936,rpm,"{""sec"":17,""usec"":110769,""rpm"":0}"
947,rpm,"{""sec"":17,""usec"":158930,""rpm"":0}"
971,stroke/front,"{""sec"":17,""usec"":181298,""left"":0.0096679690000000000,""right"":0.0072509770000000000}"
1002,acc,"{""sec"":17,""usec"":182922,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1011,water,"{""sec"":17,""usec"":209055,""inlet_temp"":0,""outlet_temp"":0}"
1018,stroke/rear,"{""sec"":17,""usec"":209381,""right"":0,""left"":0}"
1031,ecu,"{""sec"":17,""usec"":209758,""ect"":2.85156250000000,""tps"":0,""iap"":2.8405761720000000,""gp"":2.3913574220000000}"
1037,rpm,"{""sec"":17,""usec"":210764,""rpm"":0}"
1047,rpm,"{""sec"":17,""usec"":258975,""rpm"":0}"
1071,stroke/front,"{""sec"":17,""usec"":281478,""left"":0.0064453120000000000,""right"":0.0088623050000000000}"
1103,acc,"{""sec"":17,""usec"":283113,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1111,water,"{""sec"":17,""usec"":309098,""inlet_temp"":0,""outlet_temp"":0}"
1121,stroke/rear,"{""sec"":17,""usec"":309413,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1134,ecu,"{""sec"":17,""usec"":310332,""ect"":2.85156250000000,""tps"":0,""iap"":2.8393554690000000,""gp"":2.3901367190000000}"
1140,rpm,"{""sec"":17,""usec"":311285,""rpm"":0}"
1147,rpm,"{""sec"":17,""usec"":359023,""rpm"":0}"
1171,stroke/front,"{""sec"":17,""usec"":381664,""left"":0.0096679690000000000,""right"":0.0088623050000000000}"
1203,acc,"{""sec"":17,""usec"":383293,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1211,water,"{""sec"":17,""usec"":409143,""inlet_temp"":0,""outlet_temp"":0}"
1219,stroke/rear,"{""sec"":17,""usec"":409467,""right"":0,""left"":0}"
1231,ecu,"{""sec"":17,""usec"":409841,""ect"":2.8540039060000000,""tps"":0,""iap"":2.8381347660000000,""gp"":2.3901367190000000}"
1237,rpm,"{""sec"":17,""usec"":410915,""rpm"":0}"
1248,rpm,"{""sec"":17,""usec"":459067,""rpm"":0}"
1271,stroke/front,"{""sec"":17,""usec"":481845,""left"":0.0064453120000000000,""right"":0.0056396480000000000}"
1303,acc,"{""sec"":17,""usec"":483442,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1311,water,"{""sec"":17,""usec"":509191,""inlet_temp"":0,""outlet_temp"":0}"
1319,stroke/rear,"{""sec"":17,""usec"":509516,""right"":0,""left"":0}"
1331,ecu,"{""sec"":17,""usec"":509892,""ect"":2.8491210940000000,""tps"":0,""iap"":2.8405761720000000,""gp"":2.3913574220000000}"
1337,rpm,"{""sec"":17,""usec"":510971,""rpm"":0}"
1349,rpm,"{""sec"":17,""usec"":559115,""rpm"":0}"
1372,stroke/front,"{""sec"":17,""usec"":582028,""left"":0.0128906250000000,""right"":0.0088623050000000000}"
1403,acc,"{""sec"":17,""usec"":583577,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1411,water,"{""sec"":17,""usec"":609238,""inlet_temp"":0,""outlet_temp"":0}"
1422,stroke/rear,"{""sec"":17,""usec"":609556,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1434,ecu,"{""sec"":17,""usec"":610475,""ect"":2.85156250000000,""tps"":0,""iap"":2.8405761720000000,""gp"":2.3889160160000000}"
1440,rpm,"{""sec"":17,""usec"":611426,""rpm"":0}"
1448,rpm,"{""sec"":17,""usec"":659162,""rpm"":0}"
1472,stroke/front,"{""sec"":17,""usec"":682210,""left"":0.012084961000000000,""right"":0.0088623050000000000}"
1503,acc,"{""sec"":17,""usec"":683824,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1511,water,"{""sec"":17,""usec"":709285,""inlet_temp"":0,""outlet_temp"":0}"
1522,stroke/rear,"{""sec"":17,""usec"":709598,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1535,ecu,"{""sec"":17,""usec"":710531,""ect"":2.8527832030000000,""tps"":0,""iap"":2.8393554690000000,""gp"":2.3937988280000000}"
1541,rpm,"{""sec"":17,""usec"":711556,""rpm"":0}"
1548,rpm,"{""sec"":17,""usec"":759209,""rpm"":0}"
1572,stroke/front,"{""sec"":17,""usec"":782396,""left"":0.0088623050000000000,""right"":0.0072509770000000000}"
1603,acc,"{""sec"":17,""usec"":784025,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
