time,topic,payload
73,stroke/front,"{""sec"":16,""usec"":79278,""left"":0.0096679690000000000,""right"":0.0080566410000000000}"
105,acc,"{""sec"":16,""usec"":80907,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
113,water,"{""sec"":16,""usec"":108550,""inlet_temp"":0,""outlet_temp"":0}"
120,stroke/rear,"{""sec"":16,""usec"":108864,""right"":0,""left"":0}"
134,ecu,"{""sec"":16,""usec"":109244,""ect"":2.8576660160000000,""tps"":0,""iap"":4.9597167970000000,""gp"":1.1108398440000000}"
139,rpm,"{""sec"":16,""usec"":110304,""rpm"":0}"
151,rpm,"{""sec"":16,""usec"":158469,""rpm"":0}"
173,stroke/front,"{""sec"":16,""usec"":179461,""left"":0.0072509770000000000,""right"":0.0088623050000000000}"
205,acc,"{""sec"":16,""usec"":181097,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
213,water,"{""sec"":16,""usec"":208594,""inlet_temp"":0,""outlet_temp"":0}"
221,stroke/rear,"{""sec"":16,""usec"":208916,""right"":0,""left"":0}"
236,ecu,"{""sec"":16,""usec"":209306,""ect"":2.8588867190000000,""tps"":0.0061035160000000000,""iap"":4.9560546880000000,""gp"":1.1120605470000000}"
241,rpm,"{""sec"":16,""usec"":210611,""rpm"":0}"
252,rpm,"{""sec"":16,""usec"":258516,""rpm"":0}"
273,stroke/front,"{""sec"":16,""usec"":279647,""left"":0.0080566410000000000,""right"":0.0064453120000000000}"
305,acc,"{""sec"":16,""usec"":281255,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
313,water,"{""sec"":16,""usec"":308639,""inlet_temp"":0,""outlet_temp"":0}"
324,stroke/rear,"{""sec"":16,""usec"":308956,""right"":3.2991943360000000,""left"":3.2991943360000000}"
336,ecu,"{""sec"":16,""usec"":309865,""ect"":2.86132812500000,""tps"":0,""iap"":4.9560546880000000,""gp"":1.11328125000000}"
342,rpm,"{""sec"":16,""usec"":310743,""rpm"":0}"
353,rpm,"{""sec"":16,""usec"":358562,""rpm"":0}"
374,stroke/front,"{""sec"":16,""usec"":379828,""left"":0.012084961000000000,""right"":0.0096679690000000000}"
