time,topic,payload
69,stroke/front,"{""sec"":16,""usec"":279620,""left"":0.0032226560000000000,""right"":0.0080566410000000000}"
101,acc,"{""sec"":16,""usec"":281269,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
109,water,"{""sec"":16,""usec"":308690,""inlet_temp"":0,""outlet_temp"":0}"
117,stroke/rear,"{""sec"":16,""usec"":309011,""right"":0,""left"":0}"
131,ecu,"{""sec"":16,""usec"":309392,""ect"":2.84179687500000,""tps"":0.0012207030000000000,""iap"":2.84179687500000,""gp"":2.3901367190000000}"
137,rpm,"{""sec"":16,""usec"":310558,""rpm"":0}"
147,rpm,"{""sec"":16,""usec"":358614,""rpm"":0}"
170,stroke/front,"{""sec"":16,""usec"":379805,""left"":0.0072509770000000000,""right"":0.0048339840000000000}"
201,acc,"{""sec"":16,""usec"":381449,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
209,water,"{""sec"":16,""usec"":408735,""inlet_temp"":0,""outlet_temp"":0}"
217,stroke/rear,"{""sec"":16,""usec"":409070,""right"":0,""left"":0}"
230,ecu,"{""sec"":16,""usec"":409449,""ect"":2.8454589840000000,""tps"":0,""iap"":2.8442382810000000,""gp"":2.3901367190000000}"
236,rpm,"{""sec"":16,""usec"":410496,""rpm"":0}"
247,rpm,"{""sec"":16,""usec"":458660,""rpm"":0}"
270,stroke/front,"{""sec"":16,""usec"":479987,""left"":0.0056396480000000000,""right"":0.0040283200000000000}"
302,acc,"{""sec"":16,""usec"":481571,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
310,water,"{""sec"":16,""usec"":508780,""inlet_temp"":0,""outlet_temp"":0}"
317,stroke/rear,"{""sec"":16,""usec"":509103,""right"":0,""left"":0}"
