time,topic,payload
104,stroke/front,"{""sec"":16,""usec"":379885,""left"":0.31018066400000000,""right"":0.17160644500000000}"
137,acc,"{""sec"":16,""usec"":381417,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
144,water,"{""sec"":16,""usec"":408733,""inlet_temp"":0,""outlet_temp"":0}"
154,stroke/rear,"{""sec"":16,""usec"":409055,""right"":3.2991943360000000,""left"":3.2991943360000000}"
168,ecu,"{""sec"":16,""usec"":409973,""ect"":2.3449707030000000,""tps"":1.3098144530000000,""iap"":1.5478515620000000,""gp"":2.3999023440000000}"
174,rpm,"{""sec"":16,""usec"":411184,""rpm"":0}"
181,rpm,"{""sec"":16,""usec"":458658,""rpm"":0}"
204,stroke/front,"{""sec"":16,""usec"":480069,""left"":0.31179199200000000,""right"":0.17241210900000000}"
236,acc,"{""sec"":16,""usec"":481610,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
244,water,"{""sec"":16,""usec"":508778,""inlet_temp"":0,""outlet_temp"":0}"
252,stroke/rear,"{""sec"":16,""usec"":509100,""right"":0,""left"":0}"
266,ecu,"{""sec"":16,""usec"":509474,""ect"":2.3486328120000000,""tps"":1.3073730470000000,""iap"":1.51367187500000,""gp"":2.3937988280000000}"
272,rpm,"{""sec"":16,""usec"":510678,""rpm"":0}"
282,rpm,"{""sec"":16,""usec"":558700,""rpm"":0}"
304,stroke/front,"{""sec"":16,""usec"":580251,""left"":0.31179199200000000,""right"":0.16999511700000000}"
339,acc,"{""sec"":16,""usec"":581791,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
346,water,"{""sec"":16,""usec"":608823,""inlet_temp"":0,""outlet_temp"":0}"
357,stroke/rear,"{""sec"":16,""usec"":609141,""right"":3.2991943360000000,""left"":3.2991943360000000}"
369,ecu,"{""sec"":16,""usec"":610057,""ect"":2.3461914060000000,""tps"":1.3134765620000000,""iap"":1.5161132810000000,""gp"":2.3937988280000000}"
375,rpm,"{""sec"":16,""usec"":611276,""rpm"":0}"
383,rpm,"{""sec"":16,""usec"":658746,""rpm"":0}"
404,stroke/front,"{""sec"":16,""usec"":680433,""left"":0.30776367200000000,""right"":0.17321777300000000}"
436,acc,"{""sec"":16,""usec"":681990,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
445,water,"{""sec"":16,""usec"":708869,""inlet_temp"":0,""outlet_temp"":0}"
455,stroke/rear,"{""sec"":16,""usec"":709185,""right"":3.2991943360000000,""left"":3.2991943360000000}"
472,ecu,"{""sec"":16,""usec"":710107,""ect"":2.3449707030000000,""tps"":1.3122558590000000,""iap"":1.7211914060000000,""gp"":2.3913574220000000}"
475,rpm,"{""sec"":16,""usec"":711325,""rpm"":0}"
482,rpm,"{""sec"":16,""usec"":758795,""rpm"":0}"
504,stroke/front,"{""sec"":16,""usec"":780620,""left"":0.31259765600000000,""right"":0.17080078100000000}"
536,acc,"{""sec"":16,""usec"":782148,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
545,water,"{""sec"":16,""usec"":808917,""inlet_temp"":0,""outlet_temp"":0}"
555,stroke/rear,"{""sec"":16,""usec"":809241,""right"":3.2991943360000000,""left"":3.2991943360000000}"
569,ecu,"{""sec"":16,""usec"":810143,""ect"":2.3461914060000000,""tps"":1.3073730470000000,""iap"":1.6711425780000000,""gp"":2.4169921880000000}"
575,rpm,"{""sec"":16,""usec"":811361,""rpm"":0}"
582,rpm,"{""sec"":16,""usec"":858840,""rpm"":0}"
605,stroke/front,"{""sec"":16,""usec"":880801,""left"":0.31259765600000000,""right"":0.17160644500000000}"
636,acc,"{""sec"":16,""usec"":882352,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
645,water,"{""sec"":16,""usec"":908963,""inlet_temp"":0,""outlet_temp"":0}"
652,stroke/rear,"{""sec"":16,""usec"":909281,""right"":0,""left"":0}"
666,ecu,"{""sec"":16,""usec"":909659,""ect"":2.3474121090000000,""tps"":1.3134765620000000,""iap"":1.5026855470000000,""gp"":2.40234375000000}"
672,rpm,"{""sec"":16,""usec"":910839,""rpm"":0}"
682,rpm,"{""sec"":16,""usec"":958884,""rpm"":0}"
705,stroke/front,"{""sec"":16,""usec"":980981,""left"":0.30373535200000000,""right"":0.16999511700000000}"
737,acc,"{""sec"":16,""usec"":982536,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
744,water,"{""sec"":17,""usec"":9008,""inlet_temp"":0,""outlet_temp"":0}"
754,stroke/rear,"{""sec"":17,""usec"":9334,""right"":0,""left"":0}"
766,ecu,"{""sec"":17,""usec"":9710,""ect"":2.3522949220000000,""tps"":1.3110351560000000,""iap"":1.5026855470000000,""gp"":2.3864746090000000}"
772,rpm,"{""sec"":17,""usec"":10973,""rpm"":0}"
782,rpm,"{""sec"":17,""usec"":58931,""rpm"":0}"
805,stroke/front,"{""sec"":17,""usec"":81164,""left"":0.30534668000000000,""right"":0.16838378900000000}"
837,acc,"{""sec"":17,""usec"":82717,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
845,water,"{""sec"":17,""usec"":109057,""inlet_temp"":0,""outlet_temp"":0}"
855,stroke/rear,"{""sec"":17,""usec"":109380,""right"":3.2991943360000000,""left"":3.2991943360000000}"
869,ecu,"{""sec"":17,""usec"":110305,""ect"":2.3449707030000000,""tps"":1.3073730470000000,""iap"":1.3562011720000000,""gp"":2.40234375000000}"
877,rpm,"{""sec"":17,""usec"":111429,""rpm"":247440.25917549100}"
885,rpm,"{""sec"":17,""usec"":158980,""rpm"":247440.25917549100}"
905,stroke/front,"{""sec"":17,""usec"":181351,""left"":0.30776367200000000,""right"":0.16677246100000000}"
937,acc,"{""sec"":17,""usec"":182904,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
945,water,"{""sec"":17,""usec"":209107,""inlet_temp"":0,""outlet_temp"":0}"
953,stroke/rear,"{""sec"":17,""usec"":209443,""right"":0,""left"":0}"
967,ecu,"{""sec"":17,""usec"":209823,""ect"":2.3486328120000000,""tps"":1.3098144530000000,""iap"":1.2585449220000000,""gp"":2.3937988280000000}"
974,rpm,"{""sec"":17,""usec"":211067,""rpm"":247440.25917549100}"
985,rpm,"{""sec"":17,""usec"":259030,""rpm"":247440.25917549100}"
1005,stroke/front,"{""sec"":17,""usec"":281531,""left"":0.31582031200000000,""right"":0.17644043000000000}"
1037,acc,"{""sec"":17,""usec"":283075,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1045,water,"{""sec"":17,""usec"":309156,""inlet_temp"":0,""outlet_temp"":0}"
1056,stroke/rear,"{""sec"":17,""usec"":309491,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1070,ecu,"{""sec"":17,""usec"":310399,""ect"":2.3510742190000000,""tps"":1.3110351560000000,""iap"":1.3342285160000000,""gp"":2.39257812500000}"
1076,rpm,"{""sec"":17,""usec"":311534,""rpm"":0}"
1082,rpm,"{""sec"":17,""usec"":359081,""rpm"":0}"
1106,stroke/front,"{""sec"":17,""usec"":381718,""left"":0.30856933600000000,""right"":0.16999511700000000}"
1137,acc,"{""sec"":17,""usec"":383261,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1145,water,"{""sec"":17,""usec"":409203,""inlet_temp"":0,""outlet_temp"":0}"
1153,stroke/rear,"{""sec"":17,""usec"":409520,""right"":0,""left"":0}"
