time,topic,payload
49,stroke/rear,"{""sec"":16,""usec"":108954,""right"":0,""left"":0}"
69,ecu,"{""sec"":16,""usec"":109331,""ect"":2.85156250000000,""tps"":1.3122558590000000,""iap"":2.8356933590000000,""gp"":2.3913574220000000}"
79,stroke/front,"{""sec"":98,""usec"":529997,""left"":0.017724609000000000,""right"":0.360937500000000}"
85,rpm,"{""sec"":16,""usec"":110511,""rpm"":0}"
117,acc,"{""sec"":98,""usec"":531516,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
123,rpm,"{""sec"":16,""usec"":158547,""rpm"":0}"
141,water,"{""sec"":16,""usec"":208669,""inlet_temp"":0,""outlet_temp"":0}"
155,stroke/rear,"{""sec"":16,""usec"":208989,""right"":3.2991943360000000,""left"":3.2991943360000000}"
172,ecu,"{""sec"":16,""usec"":209907,""ect"":2.8466796880000000,""tps"":1.2939453120000000,""iap"":2.8369140620000000,""gp"":2.3913574220000000}"
183,stroke/front,"{""sec"":98,""usec"":630176,""left"":0.060424805000000000,""right"":0.35932617200000000}"
189,rpm,"{""sec"":16,""usec"":211106,""rpm"":0}"
220,acc,"{""sec"":98,""usec"":631791,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
227,rpm,"{""sec"":16,""usec"":258591,""rpm"":0}"
241,water,"{""sec"":16,""usec"":308715,""inlet_temp"":0,""outlet_temp"":0}"
255,stroke/rear,"{""sec"":16,""usec"":309040,""right"":3.2991943360000000,""left"":3.2991943360000000}"
272,ecu,"{""sec"":16,""usec"":309962,""ect"":2.85156250000000,""tps"":1.3134765620000000,""iap"":2.8356933590000000,""gp"":2.3889160160000000}"
283,stroke/front,"{""sec"":98,""usec"":730357,""left"":0.049145508000000000,""right"":0.35529785200000000}"
289,rpm,"{""sec"":16,""usec"":311101,""rpm"":0}"
321,acc,"{""sec"":98,""usec"":731968,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
