time,topic,payload
34,stroke/front,"{""sec"":16,""usec"":179447,""left"":0.015307617000000000,""right"":0.0080566410000000000}"
65,acc,"{""sec"":16,""usec"":181024,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
73,water,"{""sec"":16,""usec"":208616,""inlet_temp"":0,""outlet_temp"":0}"
85,stroke/rear,"{""sec"":16,""usec"":208934,""right"":3.2991943360000000,""left"":3.2991943360000000}"
97,ecu,"{""sec"":16,""usec"":209840,""ect"":2.8588867190000000,""tps"":0,""iap"":4.9560546880000000,""gp"":2.3913574220000000}"
102,rpm,"{""sec"":16,""usec"":210889,""rpm"":0}"
112,rpm,"{""sec"":16,""usec"":258536,""rpm"":0}"
134,stroke/front,"{""sec"":16,""usec"":279632,""left"":0.012084961000000000,""right"":0.0072509770000000000}"
165,acc,"{""sec"":16,""usec"":281266,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
173,water,"{""sec"":16,""usec"":308659,""inlet_temp"":0,""outlet_temp"":0}"
184,stroke/rear,"{""sec"":16,""usec"":308979,""right"":3.2991943360000000,""left"":3.2991943360000000}"
197,ecu,"{""sec"":16,""usec"":309898,""ect"":2.8588867190000000,""tps"":0,""iap"":4.9548339840000000,""gp"":2.3913574220000000}"
203,rpm,"{""sec"":16,""usec"":310926,""rpm"":0}"
212,rpm,"{""sec"":16,""usec"":358584,""rpm"":0}"
236,stroke/front,"{""sec"":16,""usec"":379815,""left"":0.0128906250000000,""right"":0.0072509770000000000}"
266,acc,"{""sec"":16,""usec"":381327,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
274,water,"{""sec"":16,""usec"":408706,""inlet_temp"":0,""outlet_temp"":0}"
