time,topic,payload
15,stroke/front,"{""sec"":16,""usec"":279533,""left"":0.0056396480000000000,""right"":0.0056396480000000000}"
46,acc,"{""sec"":16,""usec"":281149,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
55,water,"{""sec"":16,""usec"":308661,""inlet_temp"":0,""outlet_temp"":0}"
62,stroke/rear,"{""sec"":16,""usec"":308986,""right"":0,""left"":0}"
77,ecu,"{""sec"":16,""usec"":309362,""ect"":2.8466796880000000,""tps"":0.0012207030000000000,""iap"":2.8381347660000000,""gp"":2.3913574220000000}"
82,rpm,"{""sec"":16,""usec"":310689,""rpm"":0}"
93,rpm,"{""sec"":16,""usec"":358584,""rpm"":0}"
115,stroke/front,"{""sec"":16,""usec"":379717,""left"":0.0032226560000000000,""right"":0.0016113280000000000}"
146,acc,"{""sec"":16,""usec"":381333,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
155,water,"{""sec"":16,""usec"":408709,""inlet_temp"":0,""outlet_temp"":0}"
165,stroke/rear,"{""sec"":16,""usec"":409031,""right"":3.2991943360000000,""left"":3.2991943360000000}"
178,ecu,"{""sec"":16,""usec"":409944,""ect"":2.8454589840000000,""tps"":0,""iap"":2.84179687500000,""gp"":2.39257812500000}"
183,rpm,"{""sec"":16,""usec"":410838,""rpm"":0}"
192,rpm,"{""sec"":16,""usec"":458630,""rpm"":0}"
