time,topic,payload
60,stroke/front,"{""sec"":16,""usec"":179451,""left"":0.0072509770000000000,""right"":0.0048339840000000000}"
92,acc,"{""sec"":16,""usec"":181046,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
99,water,"{""sec"":16,""usec"":208670,""inlet_temp"":0,""outlet_temp"":0}"
110,stroke/rear,"{""sec"":16,""usec"":208989,""right"":3.2991943360000000,""left"":3.2991943360000000}"
124,ecu,"{""sec"":16,""usec"":209913,""ect"":2.8430175780000000,""tps"":0,""iap"":2.8393554690000000,""gp"":2.3889160160000000}"
128,rpm,"{""sec"":16,""usec"":210949,""rpm"":0}"
137,rpm,"{""sec"":16,""usec"":258589,""rpm"":0}"
159,stroke/front,"{""sec"":16,""usec"":279631,""left"":0.0088623050000000000,""right"":0.0072509770000000000}"
192,acc,"{""sec"":16,""usec"":281267,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
199,water,"{""sec"":16,""usec"":308711,""inlet_temp"":0,""outlet_temp"":0}"
210,stroke/rear,"{""sec"":16,""usec"":309037,""right"":3.2991943360000000,""left"":3.2991943360000000}"
224,ecu,"{""sec"":16,""usec"":309946,""ect"":2.8454589840000000,""tps"":0.0024414060000000000,""iap"":2.8381347660000000,""gp"":2.3962402340000000}"
231,rpm,"{""sec"":16,""usec"":311189,""rpm"":0}"
238,rpm,"{""sec"":16,""usec"":358636,""rpm"":0}"
260,stroke/front,"{""sec"":16,""usec"":379818,""left"":0.0096679690000000000,""right"":0.011279297000000000}"
