time,topic,payload
16,stroke/rear,"{""sec"":95,""usec"":338320,""right"":3.2991943360000000,""left"":3.2991943360000000}"
28,env,"{""sec"":95,""usec"":355584,""temp"":21.938111643000000,""pres"":990.44255669200000,""hum"":66.725727905000000}"
42,ecu,"{""sec"":95,""usec"":339342,""ect"":2.9309082030000000,""tps"":0.0024414060000000000,""iap"":2.8344726560000000,""gp"":2.3913574220000000}"
52,stroke/front,"{""sec"":95,""usec"":356879,""left"":0.036254883000000000,""right"":0}"
58,rpm,"{""sec"":95,""usec"":340819,""rpm"":0}"
63,af,"{""sec"":95,""usec"":357523,""af"":0}"
69,rpm,"{""sec"":95,""usec"":387828,""rpm"":0}"
101,acc,"{""sec"":95,""usec"":358359,""ax"":29197,""ay"":4096,""az"":-7876,""gx"":29197,""gy"":4096,""gz"":-7876,""mx"":29197,""my"":4096,""mz"":-7876,""h"":29197,""r"":4096,""p"":-7876,""qw"":29197,""qx"":4096,""qy"":-7876,""qz"":4096,""lx"":29197,""ly"":4096,""lz"":-7876,""x"":29197,""y"":4096,""z"":-7876,""ss"":0,""sg"":1,""sa"":0,""sm"":0}"
109,water,"{""sec"":95,""usec"":437952,""inlet_temp"":0,""outlet_temp"":0}"
118,stroke/front,"{""sec"":95,""usec"":455480,""left"":0,""right"":0.034643555000000000}"
129,stroke/rear,"{""sec"":95,""usec"":438357,""right"":3.2991943360000000,""left"":3.2991943360000000}"
134,af,"{""sec"":95,""usec"":456310,""af"":0}"
147,ecu,"{""sec"":95,""usec"":439400,""ect"":2.9382324220000000,""tps"":0,""iap"":2.8356933590000000,""gp"":2.3840332030000000}"
179,acc,"{""sec"":95,""usec"":457246,""ax"":29197,""ay"":4096,""az"":-7876,""gx"":29197,""gy"":4096,""gz"":-7876,""mx"":29197,""my"":4096,""mz"":-7876,""h"":29197,""r"":4096,""p"":-7876,""qw"":29197,""qx"":4096,""qy"":-7876,""qz"":4096,""lx"":29197,""ly"":4096,""lz"":-7876,""x"":29197,""y"":4096,""z"":-7876,""ss"":0,""sg"":1,""sa"":0,""sm"":0}"
185,rpm,"{""sec"":95,""usec"":440625,""rpm"":0}"
191,rpm,"{""sec"":95,""usec"":487869,""rpm"":0}"
203,water,"{""sec"":95,""usec"":537987,""inlet_temp"":0,""outlet_temp"":0}"
216,stroke/rear,"{""sec"":95,""usec"":538394,""right"":3.2991943360000000,""left"":3.2991943360000000}"
225,stroke/front,"{""sec"":95,""usec"":555685,""left"":0,""right"":0.030615234000000000}"
238,ecu,"{""sec"":95,""usec"":539437,""ect"":2.9357910160000000,""tps"":0,""iap"":2.8344726560000000,""gp"":2.3913574220000000}"
244,af,"{""sec"":95,""usec"":556490,""af"":0}"
249,rpm,"{""sec"":95,""usec"":540654,""rpm"":0}"
281,acc,"{""sec"":95,""usec"":557330,""ax"":29197,""ay"":4096,""az"":-7876,""gx"":29197,""gy"":4096,""gz"":-7876,""mx"":29197,""my"":4096,""mz"":-7876,""h"":29197,""r"":4096,""p"":-7876,""qw"":29197,""qx"":4096,""qy"":-7876,""qz"":4096,""lx"":29197,""ly"":4096,""lz"":-7876,""x"":29197,""y"":4096,""z"":-7876,""ss"":0,""sg"":1,""sa"":0,""sm"":0}"
287,rpm,"{""sec"":95,""usec"":587909,""rpm"":0}"
303,water,"{""sec"":95,""usec"":638025,""inlet_temp"":0,""outlet_temp"":0}"
316,stroke/rear,"{""sec"":95,""usec"":638417,""right"":3.2991943360000000,""left"":3.2991943360000000}"
324,stroke/front,"{""sec"":95,""usec"":655885,""left"":0,""right"":0}"
338,ecu,"{""sec"":95,""usec"":639454,""ect"":2.9370117190000000,""tps"":0.0036621090000000000,""iap"":2.8356933590000000,""gp"":2.39257812500000}"
343,af,"{""sec"":95,""usec"":656223,""af"":0}"
349,rpm,"{""sec"":95,""usec"":640835,""rpm"":0}"
381,acc,"{""sec"":95,""usec"":657026,""ax"":29197,""ay"":4096,""az"":-7876,""gx"":29197,""gy"":4096,""gz"":-7876,""mx"":29197,""my"":4096,""mz"":-7876,""h"":29197,""r"":4096,""p"":-7876,""qw"":29197,""qx"":4096,""qy"":-7876,""qz"":4096,""lx"":29197,""ly"":4096,""lz"":-7876,""x"":29197,""y"":4096,""z"":-7876,""ss"":0,""sg"":1,""sa"":0,""sm"":0}"
387,rpm,"{""sec"":95,""usec"":687947,""rpm"":0}"
403,water,"{""sec"":95,""usec"":738068,""inlet_temp"":0,""outlet_temp"":0}"
411,stroke/rear,"{""sec"":95,""usec"":738461,""right"":0,""left"":0}"
420,stroke/front,"{""sec"":95,""usec"":756087,""left"":0,""right"":0.036254883000000000}"
433,ecu,"{""sec"":95,""usec"":738946,""ect"":2.9345703120000000,""tps"":0,""iap"":2.8344726560000000,""gp"":2.4206542970000000}"
438,af,"{""sec"":95,""usec"":756884,""af"":0}"
444,rpm,"{""sec"":95,""usec"":740207,""rpm"":0}"
476,acc,"{""sec"":95,""usec"":757726,""ax"":29197,""ay"":4096,""az"":-7876,""gx"":29197,""gy"":4096,""gz"":-7876,""mx"":29197,""my"":4096,""mz"":-7876,""h"":29197,""r"":4096,""p"":-7876,""qw"":29197,""qx"":4096,""qy"":-7876,""qz"":4096,""lx"":29197,""ly"":4096,""lz"":-7876,""x"":29197,""y"":4096,""z"":-7876,""ss"":0,""sg"":1,""sa"":0,""sm"":0}"
482,rpm,"{""sec"":95,""usec"":787984,""rpm"":0}"
503,water,"{""sec"":95,""usec"":838102,""inlet_temp"":0,""outlet_temp"":0}"
