time,topic,payload
22,water,"{""sec"":16,""usec"":408717,""inlet_temp"":0,""outlet_temp"":0}"
32,stroke/rear,"{""sec"":16,""usec"":409033,""right"":3.2991943360000000,""left"":3.2991943360000000}"
46,ecu,"{""sec"":16,""usec"":409949,""ect"":2.8552246090000000,""tps"":0.0012207030000000000,""iap"":2.84179687500000,""gp"":0.126953125000000}"
52,rpm,"{""sec"":16,""usec"":411079,""rpm"":0}"
59,rpm,"{""sec"":16,""usec"":458640,""rpm"":0}"
82,stroke/front,"{""sec"":16,""usec"":480050,""left"":0.010473633000000000,""right"":0.015307617000000000}"
113,acc,"{""sec"":16,""usec"":481661,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
122,water,"{""sec"":16,""usec"":508762,""inlet_temp"":0,""outlet_temp"":0}"
129,stroke/rear,"{""sec"":16,""usec"":509084,""right"":0,""left"":0}"
142,ecu,"{""sec"":16,""usec"":509465,""ect"":2.8552246090000000,""tps"":0,""iap"":2.8430175780000000,""gp"":0.12817382800000000}"
148,rpm,"{""sec"":16,""usec"":510549,""rpm"":0}"
159,rpm,"{""sec"":16,""usec"":558682,""rpm"":0}"
183,stroke/front,"{""sec"":16,""usec"":580233,""left"":0.0096679690000000000,""right"":0.012084961000000000}"
214,acc,"{""sec"":16,""usec"":581870,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
222,water,"{""sec"":16,""usec"":608805,""inlet_temp"":0,""outlet_temp"":0}"
234,stroke/rear,"{""sec"":16,""usec"":609127,""right"":3.2991943360000000,""left"":3.2991943360000000}"
245,ecu,"{""sec"":16,""usec"":610042,""ect"":2.8564453120000000,""tps"":0,""iap"":2.8393554690000000,""gp"":0.12817382800000000}"
251,rpm,"{""sec"":16,""usec"":611077,""rpm"":0}"
260,rpm,"{""sec"":16,""usec"":658727,""rpm"":0}"
284,stroke/front,"{""sec"":16,""usec"":680415,""left"":0.0128906250000000,""right"":0.010473633000000000}"
316,acc,"{""sec"":16,""usec"":681976,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
322,water,"{""sec"":16,""usec"":708849,""inlet_temp"":0,""outlet_temp"":0}"
332,stroke/rear,"{""sec"":16,""usec"":709179,""right"":3.2991943360000000,""left"":3.2991943360000000}"
347,ecu,"{""sec"":16,""usec"":710097,""ect"":2.8540039060000000,""tps"":0,""iap"":2.8405761720000000,""gp"":0.12939453100000000}"
351,rpm,"{""sec"":16,""usec"":711141,""rpm"":0}"
359,rpm,"{""sec"":16,""usec"":758772,""rpm"":0}"
382,stroke/front,"{""sec"":16,""usec"":780601,""left"":0.0128906250000000,""right"":0.013696289000000000}"
414,acc,"{""sec"":16,""usec"":782104,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
422,water,"{""sec"":16,""usec"":808896,""inlet_temp"":0,""outlet_temp"":0}"
430,stroke/rear,"{""sec"":16,""usec"":809214,""right"":0,""left"":0}"
445,ecu,"{""sec"":16,""usec"":809594,""ect"":2.8564453120000000,""tps"":0,""iap"":2.8430175780000000,""gp"":0.12817382800000000}"
448,rpm,"{""sec"":16,""usec"":810692,""rpm"":0}"
461,rpm,"{""sec"":16,""usec"":858815,""rpm"":0}"
485,stroke/front,"{""sec"":16,""usec"":880784,""left"":0.012084961000000000,""right"":0.0096679690000000000}"
514,acc,"{""sec"":16,""usec"":882415,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
522,water,"{""sec"":16,""usec"":908936,""inlet_temp"":0,""outlet_temp"":0}"
