time,topic,payload
13,stroke/front,"{""sec"":16,""usec"":179346,""left"":0.0064453120000000000,""right"":0.0048339840000000000}"
44,acc,"{""sec"":16,""usec"":180943,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
52,water,"{""sec"":16,""usec"":208602,""inlet_temp"":0,""outlet_temp"":0}"
63,stroke/rear,"{""sec"":16,""usec"":208926,""right"":3.2991943360000000,""left"":3.2991943360000000}"
77,ecu,"{""sec"":16,""usec"":209837,""ect"":2.8466796880000000,""tps"":0.0061035160000000000,""iap"":2.8405761720000000,""gp"":2.4230957030000000}"
83,rpm,"{""sec"":16,""usec"":211105,""rpm"":0}"
90,rpm,"{""sec"":16,""usec"":258525,""rpm"":0}"
113,stroke/front,"{""sec"":16,""usec"":279529,""left"":0.0080566410000000000,""right"":0.0064453120000000000}"
145,acc,"{""sec"":16,""usec"":281163,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
152,water,"{""sec"":16,""usec"":308646,""inlet_temp"":0,""outlet_temp"":0}"
163,stroke/rear,"{""sec"":16,""usec"":308975,""right"":3.2991943360000000,""left"":3.2991943360000000}"
176,ecu,"{""sec"":16,""usec"":309880,""ect"":2.8479003910000000,""tps"":0,""iap"":2.8295898440000000,""gp"":2.3864746090000000}"
182,rpm,"{""sec"":16,""usec"":310901,""rpm"":0}"
190,rpm,"{""sec"":16,""usec"":358571,""rpm"":0}"
213,stroke/front,"{""sec"":16,""usec"":379711,""left"":0.0056396480000000000,""right"":0.0064453120000000000}"
244,acc,"{""sec"":16,""usec"":381298,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
253,water,"{""sec"":16,""usec"":408692,""inlet_temp"":0,""outlet_temp"":0}"
263,stroke/rear,"{""sec"":16,""usec"":409016,""right"":3.2991943360000000,""left"":3.2991943360000000}"
280,ecu,"{""sec"":16,""usec"":409931,""ect"":2.8479003910000000,""tps"":0.0073242190000000000,""iap"":2.8393554690000000,""gp"":2.3547363280000000}"
284,rpm,"{""sec"":16,""usec"":411187,""rpm"":0}"
292,rpm,"{""sec"":16,""usec"":458615,""rpm"":0}"
313,stroke/front,"{""sec"":16,""usec"":479892,""left"":0.0064453120000000000,""right"":0.0040283200000000000}"
