time,topic,payload
47,stroke/front,"{""sec"":15,""usec"":979119,""left"":0.014501953000000000,""right"":0.0088623050000000000}"
79,acc,"{""sec"":15,""usec"":980756,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
87,water,"{""sec"":16,""usec"":8547,""inlet_temp"":0,""outlet_temp"":0}"
94,stroke/rear,"{""sec"":16,""usec"":8863,""right"":0,""left"":0}"
109,ecu,"{""sec"":16,""usec"":9235,""ect"":2.8564453120000000,""tps"":0.0024414060000000000,""iap"":4.9597167970000000,""gp"":2.3901367190000000}"
114,rpm,"{""sec"":16,""usec"":10539,""rpm"":0}"
125,rpm,"{""sec"":16,""usec"":58470,""rpm"":0}"
147,stroke/front,"{""sec"":16,""usec"":79302,""left"":0.016113281000000000,""right"":0.011279297000000000}"
179,acc,"{""sec"":16,""usec"":80925,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
187,water,"{""sec"":16,""usec"":108592,""inlet_temp"":0,""outlet_temp"":0}"
195,stroke/rear,"{""sec"":16,""usec"":108917,""right"":0,""left"":0}"
209,ecu,"{""sec"":16,""usec"":109295,""ect"":2.8601074220000000,""tps"":0.0036621090000000000,""iap"":4.9560546880000000,""gp"":2.3950195310000000}"
215,rpm,"{""sec"":16,""usec"":110616,""rpm"":0}"
226,rpm,"{""sec"":16,""usec"":158513,""rpm"":0}"
248,stroke/front,"{""sec"":16,""usec"":179484,""left"":0.014501953000000000,""right"":0.0080566410000000000}"
280,acc,"{""sec"":16,""usec"":181088,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
288,water,"{""sec"":16,""usec"":208636,""inlet_temp"":0,""outlet_temp"":0}"
297,stroke/rear,"{""sec"":16,""usec"":208954,""right"":0,""left"":0}"
308,ecu,"{""sec"":16,""usec"":209333,""ect"":2.8588867190000000,""tps"":0,""iap"":4.9584960940000000,""gp"":2.39257812500000}"
314,rpm,"{""sec"":16,""usec"":210322,""rpm"":0}"
327,rpm,"{""sec"":16,""usec"":258559,""rpm"":0}"
349,stroke/front,"{""sec"":16,""usec"":279665,""left"":0.015307617000000000,""right"":0.0096679690000000000}"
379,acc,"{""sec"":16,""usec"":281281,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
388,water,"{""sec"":16,""usec"":308683,""inlet_temp"":0,""outlet_temp"":0}"
395,stroke/rear,"{""sec"":16,""usec"":309000,""right"":0,""left"":0}"
408,ecu,"{""sec"":16,""usec"":309386,""ect"":2.8601074220000000,""tps"":0,""iap"":4.96093750000000,""gp"":2.3913574220000000}"
415,rpm,"{""sec"":16,""usec"":310382,""rpm"":0}"
427,rpm,"{""sec"":16,""usec"":358603,""rpm"":0}"
449,stroke/front,"{""sec"":16,""usec"":379847,""left"":0.013696289000000000,""right"":0.010473633000000000}"
