time,topic,payload
44,stroke/front,"{""sec"":16,""usec"":179631,""left"":0.0128906250000000,""right"":0.0088623050000000000}"
76,acc,"{""sec"":16,""usec"":181183,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
84,water,"{""sec"":16,""usec"":208634,""inlet_temp"":0,""outlet_temp"":0}"
92,stroke/rear,"{""sec"":16,""usec"":208956,""right"":0,""left"":0}"
106,ecu,"{""sec"":16,""usec"":209326,""ect"":2.86132812500000,""tps"":0.010986328000000000,""iap"":4.9548339840000000,""gp"":1.46484375000000}"
112,rpm,"{""sec"":16,""usec"":210481,""rpm"":0}"
123,rpm,"{""sec"":16,""usec"":258557,""rpm"":0}"
144,stroke/front,"{""sec"":16,""usec"":279814,""left"":0.0128906250000000,""right"":0.0096679690000000000}"
176,acc,"{""sec"":16,""usec"":281361,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
184,water,"{""sec"":16,""usec"":308677,""inlet_temp"":0,""outlet_temp"":0}"
192,stroke/rear,"{""sec"":16,""usec"":309004,""right"":0,""left"":0}"
207,ecu,"{""sec"":16,""usec"":309382,""ect"":2.8540039060000000,""tps"":0.0048828120000000000,""iap"":4.9560546880000000,""gp"":1.4685058590000000}"
212,rpm,"{""sec"":16,""usec"":310689,""rpm"":0}"
223,rpm,"{""sec"":16,""usec"":358598,""rpm"":0}"
245,stroke/front,"{""sec"":16,""usec"":379999,""left"":0.0088623050000000000,""right"":0.0032226560000000000}"
276,acc,"{""sec"":16,""usec"":381603,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
285,water,"{""sec"":16,""usec"":408720,""inlet_temp"":0,""outlet_temp"":0}"
298,stroke/rear,"{""sec"":16,""usec"":409040,""right"":3.2991943360000000,""left"":3.2991943360000000}"
308,ecu,"{""sec"":16,""usec"":409953,""ect"":2.8552246090000000,""tps"":0,""iap"":4.9584960940000000,""gp"":1.46484375000000}"
315,rpm,"{""sec"":16,""usec"":410907,""rpm"":0}"
323,rpm,"{""sec"":16,""usec"":458643,""rpm"":0}"
345,stroke/front,"{""sec"":16,""usec"":480181,""left"":0.011279297000000000,""right"":0.0056396480000000000}"
377,acc,"{""sec"":16,""usec"":481783,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
385,water,"{""sec"":16,""usec"":508764,""inlet_temp"":0,""outlet_temp"":0}"
393,stroke/rear,"{""sec"":16,""usec"":509084,""right"":0,""left"":0}"
406,ecu,"{""sec"":16,""usec"":509461,""ect"":2.8552246090000000,""tps"":0,""iap"":4.9584960940000000,""gp"":1.46484375000000}"
412,rpm,"{""sec"":16,""usec"":510466,""rpm"":0}"
423,rpm,"{""sec"":16,""usec"":558687,""rpm"":0}"
445,stroke/front,"{""sec"":16,""usec"":580366,""left"":0.0080566410000000000,""right"":0.0080566410000000000}"
477,acc,"{""sec"":16,""usec"":581983,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
486,water,"{""sec"":16,""usec"":608810,""inlet_temp"":0,""outlet_temp"":0}"
493,stroke/rear,"{""sec"":16,""usec"":609131,""right"":0,""left"":0}"
507,ecu,"{""sec"":16,""usec"":609505,""ect"":2.8588867190000000,""tps"":0,""iap"":4.9499511720000000,""gp"":1.4660644530000000}"
511,rpm,"{""sec"":16,""usec"":610551,""rpm"":0}"
523,rpm,"{""sec"":16,""usec"":658731,""rpm"":0}"
545,stroke/front,"{""sec"":16,""usec"":680549,""left"":0.0096679690000000000,""right"":0.0064453120000000000}"
578,acc,"{""sec"":16,""usec"":682166,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
586,water,"{""sec"":16,""usec"":708854,""inlet_temp"":0,""outlet_temp"":0}"
596,stroke/rear,"{""sec"":16,""usec"":709177,""right"":3.2991943360000000,""left"":3.2991943360000000}"
608,ecu,"{""sec"":16,""usec"":710088,""ect"":2.8588867190000000,""tps"":0,""iap"":4.9584960940000000,""gp"":1.4709472660000000}"
614,rpm,"{""sec"":16,""usec"":711118,""rpm"":0}"
624,rpm,"{""sec"":16,""usec"":758774,""rpm"":0}"
645,stroke/front,"{""sec"":16,""usec"":780733,""left"":0.0096679690000000000,""right"":0.0072509770000000000}"
677,acc,"{""sec"":16,""usec"":782334,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
685,water,"{""sec"":16,""usec"":808897,""inlet_temp"":0,""outlet_temp"":0}"
696,stroke/rear,"{""sec"":16,""usec"":809220,""right"":3.2991943360000000,""left"":3.2991943360000000}"
709,ecu,"{""sec"":16,""usec"":810153,""ect"":2.86132812500000,""tps"":0,""iap"":4.96093750000000,""gp"":1.7785644530000000}"
714,rpm,"{""sec"":16,""usec"":811031,""rpm"":0}"
723,rpm,"{""sec"":16,""usec"":858819,""rpm"":0}"
746,stroke/front,"{""sec"":16,""usec"":880917,""left"":0.0088623050000000000,""right"":0.0048339840000000000}"
777,acc,"{""sec"":16,""usec"":882534,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
785,water,"{""sec"":16,""usec"":908942,""inlet_temp"":0,""outlet_temp"":0}"
796,stroke/rear,"{""sec"":16,""usec"":909271,""right"":3.2991943360000000,""left"":3.2991943360000000}"
809,ecu,"{""sec"":16,""usec"":910184,""ect"":2.8576660160000000,""tps"":0,""iap"":4.9584960940000000,""gp"":1.7797851560000000}"
815,rpm,"{""sec"":16,""usec"":911207,""rpm"":0}"
823,rpm,"{""sec"":16,""usec"":958865,""rpm"":0}"
846,stroke/front,"{""sec"":16,""usec"":981096,""left"":0.010473633000000000,""right"":0.0040283200000000000}"
877,acc,"{""sec"":16,""usec"":982744,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
885,water,"{""sec"":17,""usec"":8988,""inlet_temp"":0,""outlet_temp"":0}"
893,stroke/rear,"{""sec"":17,""usec"":9314,""right"":0,""left"":0}"
906,ecu,"{""sec"":17,""usec"":9685,""ect"":2.8576660160000000,""tps"":0,""iap"":4.9548339840000000,""gp"":1.7736816410000000}"
911,rpm,"{""sec"":17,""usec"":10746,""rpm"":0}"
923,rpm,"{""sec"":17,""usec"":58910,""rpm"":0}"
946,stroke/front,"{""sec"":17,""usec"":81282,""left"":0.011279297000000000,""right"":0.0072509770000000000}"
977,acc,"{""sec"":17,""usec"":82891,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
986,water,"{""sec"":17,""usec"":109033,""inlet_temp"":0,""outlet_temp"":0}"
996,stroke/rear,"{""sec"":17,""usec"":109348,""right"":3.2991943360000000,""left"":3.2991943360000000}"
1009,ecu,"{""sec"":17,""usec"":110256,""ect"":2.8588867190000000,""tps"":0,""iap"":4.9548339840000000,""gp"":1.75781250000000}"
1015,rpm,"{""sec"":17,""usec"":111198,""rpm"":0}"
1023,rpm,"{""sec"":17,""usec"":158955,""rpm"":0}"
1046,stroke/front,"{""sec"":17,""usec"":181467,""left"":0.012084961000000000,""right"":0.0064453120000000000}"
1078,acc,"{""sec"":17,""usec"":183088,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1086,water,"{""sec"":17,""usec"":209080,""inlet_temp"":0,""outlet_temp"":0}"
1094,stroke/rear,"{""sec"":17,""usec"":209396,""right"":0,""left"":0}"
1108,ecu,"{""sec"":17,""usec"":209776,""ect"":2.8588867190000000,""tps"":0.0012207030000000000,""iap"":4.9560546880000000,""gp"":1.7749023440000000}"
1114,rpm,"{""sec"":17,""usec"":211085,""rpm"":0}"
1123,rpm,"{""sec"":17,""usec"":259003,""rpm"":0}"
1146,stroke/front,"{""sec"":17,""usec"":281651,""left"":0.012084961000000000,""right"":0.0056396480000000000}"
1178,acc,"{""sec"":17,""usec"":283283,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
1186,water,"{""sec"":17,""usec"":309122,""inlet_temp"":0,""outlet_temp"":0}"
1194,stroke/rear,"{""sec"":17,""usec"":309442,""right"":0,""left"":0}"
1208,ecu,"{""sec"":17,""usec"":309829,""ect"":2.8576660160000000,""tps"":0.0061035160000000000,""iap"":4.9572753910000000,""gp"":1.7736816410000000}"
1214,rpm,"{""sec"":17,""usec"":311139,""rpm"":0}"
1223,rpm,"{""sec"":17,""usec"":359047,""rpm"":0}"
1247,stroke/front,"{""sec"":17,""usec"":381832,""left"":0.012084961000000000,""right"":0.0056396480000000000}"
