time,topic,payload
53,stroke/front,"{""sec"":16,""usec"":479883,""left"":0.708984375000000,""right"":0.44794921900000000}"
85,acc,"{""sec"":16,""usec"":481353,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
93,water,"{""sec"":16,""usec"":508819,""inlet_temp"":0,""outlet_temp"":0}"
104,stroke/rear,"{""sec"":16,""usec"":509139,""right"":3.2991943360000000,""left"":3.2991943360000000}"
118,ecu,"{""sec"":16,""usec"":510055,""ect"":1.3598632810000000,""tps"":1.30859375000000,""iap"":1.48437500000000,""gp"":2.3962402340000000}"
123,rpm,"{""sec"":16,""usec"":511113,""rpm"":0}"
132,rpm,"{""sec"":16,""usec"":558740,""rpm"":0}"
154,stroke/front,"{""sec"":16,""usec"":580065,""left"":0.70173339800000000,""right"":0.44714355500000000}"
185,acc,"{""sec"":16,""usec"":581590,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
194,water,"{""sec"":16,""usec"":608866,""inlet_temp"":0,""outlet_temp"":0}"
204,stroke/rear,"{""sec"":16,""usec"":609185,""right"":3.2991943360000000,""left"":3.2991943360000000}"
218,ecu,"{""sec"":16,""usec"":610109,""ect"":1.3500976560000000,""tps"":1.30859375000000,""iap"":1.45507812500000,""gp"":2.4011230470000000}"
224,rpm,"{""sec"":16,""usec"":611168,""rpm"":0}"
232,rpm,"{""sec"":16,""usec"":658788,""rpm"":0}"
254,stroke/front,"{""sec"":16,""usec"":680250,""left"":0.72026367200000000,""right"":0.46003418000000000}"
286,acc,"{""sec"":16,""usec"":681809,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
294,water,"{""sec"":16,""usec"":708911,""inlet_temp"":0,""outlet_temp"":0}"
304,stroke/rear,"{""sec"":16,""usec"":709228,""right"":3.2991943360000000,""left"":3.2991943360000000}"
319,ecu,"{""sec"":16,""usec"":710153,""ect"":1.3452148440000000,""tps"":1.3122558590000000,""iap"":1.3037109380000000,""gp"":2.3864746090000000}"
325,rpm,"{""sec"":16,""usec"":711370,""rpm"":0}"
333,rpm,"{""sec"":16,""usec"":758832,""rpm"":0}"
354,stroke/front,"{""sec"":16,""usec"":780434,""left"":0.72106933600000000,""right"":0.45922851600000000}"
386,acc,"{""sec"":16,""usec"":781984,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
394,water,"{""sec"":16,""usec"":808954,""inlet_temp"":0,""outlet_temp"":0}"
405,stroke/rear,"{""sec"":16,""usec"":809273,""right"":3.2991943360000000,""left"":3.2991943360000000}"
419,ecu,"{""sec"":16,""usec"":810181,""ect"":1.3500976560000000,""tps"":1.31835937500000,""iap"":1.2487792970000000,""gp"":2.3913574220000000}"
424,rpm,"{""sec"":16,""usec"":811326,""rpm"":0}"
432,rpm,"{""sec"":16,""usec"":858877,""rpm"":0}"
458,stroke/front,"{""sec"":16,""usec"":880615,""left"":0.69851074200000000,""right"":0.44392089800000000}"
