time,topic,payload
78,stroke/front,"{""sec"":16,""usec"":480108,""left"":0.69045410200000000,""right"":0.43344726600000000}"
109,acc,"{""sec"":16,""usec"":481654,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
117,water,"{""sec"":16,""usec"":508838,""inlet_temp"":0,""outlet_temp"":0}"
128,stroke/rear,"{""sec"":16,""usec"":509168,""right"":3.2991943360000000,""left"":3.2991943360000000}"
142,ecu,"{""sec"":16,""usec"":510076,""ect"":1.3793945310000000,""tps"":1.3793945310000000,""iap"":1.3696289060000000,""gp"":2.3901367190000000}"
148,rpm,"{""sec"":16,""usec"":511272,""rpm"":0}"
156,rpm,"{""sec"":16,""usec"":558759,""rpm"":0}"
177,stroke/front,"{""sec"":16,""usec"":580291,""left"":0.696093750000000,""right"":0.438281250000000}"
209,acc,"{""sec"":16,""usec"":581656,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
219,water,"{""sec"":16,""usec"":608881,""inlet_temp"":0,""outlet_temp"":0}"
225,stroke/rear,"{""sec"":16,""usec"":609199,""right"":0,""left"":0}"
239,ecu,"{""sec"":16,""usec"":609576,""ect"":1.3757324220000000,""tps"":1.3745117190000000,""iap"":1.2548828120000000,""gp"":2.3876953120000000}"
245,rpm,"{""sec"":16,""usec"":610825,""rpm"":0}"
256,rpm,"{""sec"":16,""usec"":658804,""rpm"":0}"
278,stroke/front,"{""sec"":16,""usec"":680476,""left"":0.70576171900000000,""right"":0.44150390600000000}"
