time,topic,payload
52,stroke/front,"{""sec"":16,""usec"":179359,""left"":0.0048339840000000000,""right"":0.0056396480000000000}"
84,acc,"{""sec"":16,""usec"":180961,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
92,water,"{""sec"":16,""usec"":208646,""inlet_temp"":0,""outlet_temp"":0}"
102,stroke/rear,"{""sec"":16,""usec"":208972,""right"":3.2991943360000000,""left"":3.2991943360000000}"
115,ecu,"{""sec"":16,""usec"":209887,""ect"":2.8442382810000000,""tps"":0,""iap"":2.8369140620000000,""gp"":2.3913574220000000}"
121,rpm,"{""sec"":16,""usec"":210931,""rpm"":0}"
130,rpm,"{""sec"":16,""usec"":258569,""rpm"":0}"
152,stroke/front,"{""sec"":16,""usec"":279542,""left"":0.0056396480000000000,""right"":0.0032226560000000000}"
184,acc,"{""sec"":16,""usec"":281146,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
192,water,"{""sec"":16,""usec"":308691,""inlet_temp"":0,""outlet_temp"":0}"
203,stroke/rear,"{""sec"":16,""usec"":309007,""right"":3.2991943360000000,""left"":3.2991943360000000}"
215,ecu,"{""sec"":16,""usec"":309917,""ect"":2.8527832030000000,""tps"":0,""iap"":2.8393554690000000,""gp"":2.3913574220000000}"
221,rpm,"{""sec"":16,""usec"":310943,""rpm"":0}"
