time,topic,payload
37,stroke/front,"{""sec"":16,""usec"":279625,""left"":0.0040283200000000000,""right"":0.0040283200000000000}"
71,acc,"{""sec"":16,""usec"":281251,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
79,water,"{""sec"":16,""usec"":308699,""inlet_temp"":0,""outlet_temp"":0}"
84,stroke/rear,"{""sec"":16,""usec"":309021,""right"":0,""left"":0}"
99,ecu,"{""sec"":16,""usec"":309396,""ect"":2.8491210940000000,""tps"":0,""iap"":2.8381347660000000,""gp"":2.3901367190000000}"
103,rpm,"{""sec"":16,""usec"":310478,""rpm"":0}"
114,rpm,"{""sec"":16,""usec"":358621,""rpm"":0}"
137,stroke/front,"{""sec"":16,""usec"":379813,""left"":0.0048339840000000000,""right"":0.0032226560000000000}"
168,acc,"{""sec"":16,""usec"":381395,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
176,water,"{""sec"":16,""usec"":408745,""inlet_temp"":0,""outlet_temp"":0}"
184,stroke/rear,"{""sec"":16,""usec"":409060,""right"":0,""left"":0}"
199,ecu,"{""sec"":16,""usec"":409440,""ect"":2.8479003910000000,""tps"":0.0073242190000000000,""iap"":2.8393554690000000,""gp"":2.3913574220000000}"
205,rpm,"{""sec"":16,""usec"":410722,""rpm"":0}"
214,rpm,"{""sec"":16,""usec"":458667,""rpm"":0}"
238,stroke/front,"{""sec"":16,""usec"":479992,""left"":0.0032226560000000000,""right"":0.0032226560000000000}"
270,acc,"{""sec"":16,""usec"":481604,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
277,water,"{""sec"":16,""usec"":508792,""inlet_temp"":0,""outlet_temp"":0}"
289,stroke/rear,"{""sec"":16,""usec"":509112,""right"":3.2991943360000000,""left"":3.2991943360000000}"
300,ecu,"{""sec"":16,""usec"":510021,""ect"":2.8503417970000000,""tps"":0,""iap"":2.8381347660000000,""gp"":2.3901367190000000}"
306,rpm,"{""sec"":16,""usec"":511051,""rpm"":0}"
316,rpm,"{""sec"":16,""usec"":558714,""rpm"":0}"
339,stroke/front,"{""sec"":16,""usec"":580172,""left"":0.0032226560000000000,""right"":0.0048339840000000000}"
370,acc,"{""sec"":16,""usec"":581784,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
377,water,"{""sec"":16,""usec"":608835,""inlet_temp"":0,""outlet_temp"":0}"
385,stroke/rear,"{""sec"":16,""usec"":609155,""right"":0,""left"":0}"
399,ecu,"{""sec"":16,""usec"":609538,""ect"":2.8479003910000000,""tps"":0.0024414060000000000,""iap"":2.8393554690000000,""gp"":2.39257812500000}"
405,rpm,"{""sec"":16,""usec"":610766,""rpm"":0}"
415,rpm,"{""sec"":16,""usec"":658762,""rpm"":0}"
438,stroke/front,"{""sec"":16,""usec"":680360,""left"":0.0032226560000000000,""right"":0.0064453120000000000}"
469,acc,"{""sec"":16,""usec"":681983,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
