time,topic,payload
67,stroke/front,"{""sec"":16,""usec"":680288,""left"":0.013696289000000000,""right"":0.0096679690000000000}"
98,acc,"{""sec"":16,""usec"":681908,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
107,water,"{""sec"":16,""usec"":708833,""inlet_temp"":0,""outlet_temp"":0}"
114,stroke/rear,"{""sec"":16,""usec"":709152,""right"":0,""left"":0}"
127,ecu,"{""sec"":16,""usec"":709533,""ect"":2.8552246090000000,""tps"":0,""iap"":2.84179687500000,""gp"":1.2915039060000000}"
132,rpm,"{""sec"":16,""usec"":710539,""rpm"":0}"
144,rpm,"{""sec"":16,""usec"":758753,""rpm"":0}"
168,stroke/front,"{""sec"":16,""usec"":780471,""left"":0.0096679690000000000,""right"":0.0064453120000000000}"
199,acc,"{""sec"":16,""usec"":782105,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
207,water,"{""sec"":16,""usec"":808876,""inlet_temp"":0,""outlet_temp"":0}"
214,stroke/rear,"{""sec"":16,""usec"":809202,""right"":0,""left"":0}"
227,ecu,"{""sec"":16,""usec"":809581,""ect"":2.8601074220000000,""tps"":0,""iap"":2.8381347660000000,""gp"":1.2939453120000000}"
233,rpm,"{""sec"":16,""usec"":810644,""rpm"":0}"
244,rpm,"{""sec"":16,""usec"":858798,""rpm"":0}"
267,stroke/front,"{""sec"":16,""usec"":880658,""left"":0.0048339840000000000,""right"":0.0048339840000000000}"
300,acc,"{""sec"":16,""usec"":882258,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
307,water,"{""sec"":16,""usec"":908918,""inlet_temp"":0,""outlet_temp"":0}"
315,stroke/rear,"{""sec"":16,""usec"":909240,""right"":0,""left"":0}"
329,ecu,"{""sec"":16,""usec"":909622,""ect"":2.8576660160000000,""tps"":0.0012207030000000000,""iap"":2.8430175780000000,""gp"":1.2915039060000000}"
337,rpm,"{""sec"":16,""usec"":910944,""rpm"":0}"
350,rpm,"{""sec"":16,""usec"":958837,""rpm"":0}"
367,stroke/front,"{""sec"":16,""usec"":980843,""left"":0.0080566410000000000,""right"":0.0064453120000000000}"
399,acc,"{""sec"":16,""usec"":982468,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
407,water,"{""sec"":17,""usec"":8960,""inlet_temp"":0,""outlet_temp"":0}"
414,stroke/rear,"{""sec"":17,""usec"":9279,""right"":0,""left"":0}"
427,ecu,"{""sec"":17,""usec"":9650,""ect"":2.8601074220000000,""tps"":0,""iap"":2.84179687500000,""gp"":1.2939453120000000}"
433,rpm,"{""sec"":17,""usec"":10668,""rpm"":0}"
445,rpm,"{""sec"":17,""usec"":58882,""rpm"":0}"
467,stroke/front,"{""sec"":17,""usec"":81020,""left"":0.0064453120000000000,""right"":0.0048339840000000000}"
499,acc,"{""sec"":17,""usec"":82619,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
508,water,"{""sec"":17,""usec"":109005,""inlet_temp"":0,""outlet_temp"":0}"
515,stroke/rear,"{""sec"":17,""usec"":109323,""right"":0,""left"":0}"
529,ecu,"{""sec"":17,""usec"":109701,""ect"":2.8552246090000000,""tps"":0.0012207030000000000,""iap"":2.84179687500000,""gp"":1.2915039060000000}"
535,rpm,"{""sec"":17,""usec"":110958,""rpm"":0}"
544,rpm,"{""sec"":17,""usec"":158928,""rpm"":0}"
569,stroke/front,"{""sec"":17,""usec"":181206,""left"":0.0072509770000000000,""right"":0.010473633000000000}"
