time,topic,payload
53,stroke/front,"{""sec"":16,""usec"":479873,""left"":0.29165039100000000,""right"":0.16354980500000000}"
85,acc,"{""sec"":16,""usec"":481432,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
93,water,"{""sec"":16,""usec"":508826,""inlet_temp"":0,""outlet_temp"":0}"
104,stroke/rear,"{""sec"":16,""usec"":509151,""right"":3.2991943360000000,""left"":3.2991943360000000}"
118,ecu,"{""sec"":16,""usec"":510046,""ect"":1.9848632810000000,""tps"":1.30859375000000,""iap"":1.5026855470000000,""gp"":2.3937988280000000}"
124,rpm,"{""sec"":16,""usec"":511185,""rpm"":0}"
131,rpm,"{""sec"":16,""usec"":558747,""rpm"":0}"
154,stroke/front,"{""sec"":16,""usec"":580053,""left"":0.29567871100000000,""right"":0.16596679700000000}"
185,acc,"{""sec"":16,""usec"":581584,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
193,water,"{""sec"":16,""usec"":608872,""inlet_temp"":0,""outlet_temp"":0}"
204,stroke/rear,"{""sec"":16,""usec"":609185,""right"":3.2991943360000000,""left"":3.2991943360000000}"
222,ecu,"{""sec"":16,""usec"":610109,""ect"":1.9799804690000000,""tps"":1.30859375000000,""iap"":1.6723632810000000,""gp"":2.3962402340000000}"
224,rpm,"{""sec"":16,""usec"":611241,""rpm"":0}"
231,rpm,"{""sec"":16,""usec"":658794,""rpm"":0}"
254,stroke/front,"{""sec"":16,""usec"":680241,""left"":0.29406738300000000,""right"":0.16435546900000000}"
285,acc,"{""sec"":16,""usec"":681799,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
297,water,"{""sec"":16,""usec"":708918,""inlet_temp"":0,""outlet_temp"":0}"
306,stroke/rear,"{""sec"":16,""usec"":709239,""right"":3.2991943360000000,""left"":3.2991943360000000}"
319,ecu,"{""sec"":16,""usec"":710143,""ect"":1.98242187500000,""tps"":1.3098144530000000,""iap"":1.5942382810000000,""gp"":2.3999023440000000}"
324,rpm,"{""sec"":16,""usec"":711297,""rpm"":0}"
331,rpm,"{""sec"":16,""usec"":758840,""rpm"":0}"
354,stroke/front,"{""sec"":16,""usec"":780422,""left"":0.29729003900000000,""right"":0.16677246100000000}"
