time,topic,payload
84,stroke/front,"{""sec"":16,""usec"":279639,""left"":0.0040283200000000000,""right"":0.0032226560000000000}"
116,acc,"{""sec"":16,""usec"":281265,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
124,water,"{""sec"":16,""usec"":308670,""inlet_temp"":0,""outlet_temp"":0}"
132,stroke/rear,"{""sec"":16,""usec"":308986,""right"":0,""left"":0}"
144,ecu,"{""sec"":16,""usec"":309364,""ect"":2.8552246090000000,""tps"":0,""iap"":2.8369140620000000,""gp"":1.2915039060000000}"
150,rpm,"{""sec"":16,""usec"":310454,""rpm"":0}"
162,rpm,"{""sec"":16,""usec"":358591,""rpm"":0}"
184,stroke/front,"{""sec"":16,""usec"":379821,""left"":0.0056396480000000000,""right"":0.0016113280000000000}"
216,acc,"{""sec"":16,""usec"":381429,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
224,water,"{""sec"":16,""usec"":408713,""inlet_temp"":0,""outlet_temp"":0}"
232,stroke/rear,"{""sec"":16,""usec"":409032,""right"":0,""left"":0}"
246,ecu,"{""sec"":16,""usec"":409409,""ect"":2.86132812500000,""tps"":0.0012207030000000000,""iap"":2.84179687500000,""gp"":1.2915039060000000}"
252,rpm,"{""sec"":16,""usec"":410575,""rpm"":0}"
262,rpm,"{""sec"":16,""usec"":458638,""rpm"":0}"
