time,topic,payload
85,stroke/front,"{""sec"":16,""usec"":179528,""left"":0.015307617000000000,""right"":0.0072509770000000000}"
116,acc,"{""sec"":16,""usec"":181135,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
124,water,"{""sec"":16,""usec"":208602,""inlet_temp"":0,""outlet_temp"":0}"
132,stroke/rear,"{""sec"":16,""usec"":208920,""right"":0,""left"":0}"
145,ecu,"{""sec"":16,""usec"":209300,""ect"":2.8564453120000000,""tps"":0,""iap"":4.9584960940000000,""gp"":0.888671875000000}"
150,rpm,"{""sec"":16,""usec"":210307,""rpm"":0}"
163,rpm,"{""sec"":16,""usec"":258524,""rpm"":0}"
185,stroke/front,"{""sec"":16,""usec"":279710,""left"":0.016918945000000000,""right"":0.0096679690000000000}"
216,acc,"{""sec"":16,""usec"":281324,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
225,water,"{""sec"":16,""usec"":308648,""inlet_temp"":0,""outlet_temp"":0}"
236,stroke/rear,"{""sec"":16,""usec"":308970,""right"":0,""left"":0}"
245,ecu,"{""sec"":16,""usec"":309347,""ect"":2.86132812500000,""tps"":0,""iap"":4.9548339840000000,""gp"":0.88989257800000000}"
251,rpm,"{""sec"":16,""usec"":310368,""rpm"":0}"
263,rpm,"{""sec"":16,""usec"":358566,""rpm"":0}"
285,stroke/front,"{""sec"":16,""usec"":379894,""left"":0.019335937000000000,""right"":0.016918945000000000}"
318,acc,"{""sec"":16,""usec"":381500,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
326,water,"{""sec"":16,""usec"":408691,""inlet_temp"":0,""outlet_temp"":0}"
335,stroke/rear,"{""sec"":16,""usec"":409011,""right"":3.2991943360000000,""left"":3.2991943360000000}"
350,ecu,"{""sec"":16,""usec"":409924,""ect"":2.8576660160000000,""tps"":0,""iap"":4.9572753910000000,""gp"":0.89233398400000000}"
354,rpm,"{""sec"":16,""usec"":410985,""rpm"":0}"
363,rpm,"{""sec"":16,""usec"":458613,""rpm"":0}"
386,stroke/front,"{""sec"":16,""usec"":480082,""left"":0.020141602000000000,""right"":0.0096679690000000000}"
419,acc,"{""sec"":16,""usec"":481713,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
425,water,"{""sec"":16,""usec"":508733,""inlet_temp"":0,""outlet_temp"":0}"
436,stroke/rear,"{""sec"":16,""usec"":509055,""right"":3.2991943360000000,""left"":3.2991943360000000}"
450,ecu,"{""sec"":16,""usec"":509962,""ect"":2.8601074220000000,""tps"":0.0012207030000000000,""iap"":4.9597167970000000,""gp"":0.888671875000000}"
456,rpm,"{""sec"":16,""usec"":511152,""rpm"":0}"
463,rpm,"{""sec"":16,""usec"":558653,""rpm"":0}"
485,stroke/front,"{""sec"":16,""usec"":580259,""left"":0.016918945000000000,""right"":0.014501953000000000}"
517,acc,"{""sec"":16,""usec"":581848,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
527,water,"{""sec"":16,""usec"":608776,""inlet_temp"":0,""outlet_temp"":0}"
534,stroke/rear,"{""sec"":16,""usec"":609100,""right"":0,""left"":0}"
546,ecu,"{""sec"":16,""usec"":609481,""ect"":2.86132812500000,""tps"":0,""iap"":4.9523925780000000,""gp"":0.88989257800000000}"
551,rpm,"{""sec"":16,""usec"":610498,""rpm"":0}"
563,rpm,"{""sec"":16,""usec"":658699,""rpm"":0}"
585,stroke/front,"{""sec"":16,""usec"":680445,""left"":0.021752930000000000,""right"":0.0128906250000000}"
618,acc,"{""sec"":16,""usec"":681984,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
