time,topic,payload
86,stroke/front,"{""sec"":16,""usec"":680335,""left"":0.28439941400000000,""right"":0.47453613300000000}"
117,acc,"{""sec"":16,""usec"":681891,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
125,water,"{""sec"":16,""usec"":708819,""inlet_temp"":0,""outlet_temp"":0}"
133,stroke/rear,"{""sec"":16,""usec"":709139,""right"":0,""left"":0}"
147,ecu,"{""sec"":16,""usec"":709519,""ect"":1.7761230470000000,""tps"":1.6845703120000000,""iap"":1.2902832030000000,""gp"":2.3876953120000000}"
153,rpm,"{""sec"":16,""usec"":710777,""rpm"":0}"
163,rpm,"{""sec"":16,""usec"":758740,""rpm"":0}"
185,stroke/front,"{""sec"":16,""usec"":780518,""left"":0.283593750000000,""right"":0.46970214800000000}"
217,acc,"{""sec"":16,""usec"":781994,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
225,water,"{""sec"":16,""usec"":808863,""inlet_temp"":0,""outlet_temp"":0}"
233,stroke/rear,"{""sec"":16,""usec"":809185,""right"":0,""left"":0}"
248,ecu,"{""sec"":16,""usec"":809560,""ect"":1.7749023440000000,""tps"":1.6870117190000000,""iap"":1.4282226560000000,""gp"":2.3840332030000000}"
253,rpm,"{""sec"":16,""usec"":810796,""rpm"":0}"
263,rpm,"{""sec"":16,""usec"":858784,""rpm"":0}"
286,stroke/front,"{""sec"":16,""usec"":880702,""left"":0.28681640600000000,""right"":0.476953125000000}"
317,acc,"{""sec"":16,""usec"":882162,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
326,water,"{""sec"":16,""usec"":908906,""inlet_temp"":0,""outlet_temp"":0}"
336,stroke/rear,"{""sec"":16,""usec"":909222,""right"":3.2991943360000000,""left"":3.2991943360000000}"
352,ecu,"{""sec"":16,""usec"":910138,""ect"":1.7468261720000000,""tps"":1.6833496090000000,""iap"":1.3146972660000000,""gp"":2.38281250000000}"
356,rpm,"{""sec"":16,""usec"":911277,""rpm"":0}"
363,rpm,"{""sec"":16,""usec"":958828,""rpm"":0}"
386,stroke/front,"{""sec"":16,""usec"":980885,""left"":0.28842773400000000,""right"":0.47775878900000000}"
418,acc,"{""sec"":16,""usec"":982440,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
427,water,"{""sec"":17,""usec"":8951,""inlet_temp"":0,""outlet_temp"":0}"
433,stroke/rear,"{""sec"":17,""usec"":9266,""right"":0,""left"":0}"
447,ecu,"{""sec"":17,""usec"":9639,""ect"":1.7663574220000000,""tps"":1.6479492190000000,""iap"":1.36718750000000,""gp"":2.3913574220000000}"
453,rpm,"{""sec"":17,""usec"":10802,""rpm"":0}"
466,rpm,"{""sec"":17,""usec"":58873,""rpm"":0}"
486,stroke/front,"{""sec"":17,""usec"":81068,""left"":0.28842773400000000,""right"":0.47775878900000000}"
518,acc,"{""sec"":17,""usec"":82599,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
526,water,"{""sec"":17,""usec"":108997,""inlet_temp"":0,""outlet_temp"":0}"
536,stroke/rear,"{""sec"":17,""usec"":109318,""right"":3.2991943360000000,""left"":3.2991943360000000}"
551,ecu,"{""sec"":17,""usec"":110225,""ect"":1.7712402340000000,""tps"":1.64062500000000,""iap"":1.0815429690000000,""gp"":2.3986816410000000}"
556,rpm,"{""sec"":17,""usec"":111359,""rpm"":0}"
563,rpm,"{""sec"":17,""usec"":158916,""rpm"":0}"
586,stroke/front,"{""sec"":17,""usec"":181251,""left"":0.28842773400000000,""right"":0.47775878900000000}"
618,acc,"{""sec"":17,""usec"":182787,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
626,water,"{""sec"":17,""usec"":209040,""inlet_temp"":0,""outlet_temp"":0}"
637,stroke/rear,"{""sec"":17,""usec"":209367,""right"":3.2991943360000000,""left"":3.2991943360000000}"
651,ecu,"{""sec"":17,""usec"":210281,""ect"":1.75781250000000,""tps"":1.5783691410000000,""iap"":1.1291503910000000,""gp"":2.3767089840000000}"
657,rpm,"{""sec"":17,""usec"":211431,""rpm"":0}"
663,rpm,"{""sec"":17,""usec"":258963,""rpm"":0}"
687,stroke/front,"{""sec"":17,""usec"":281434,""left"":0.28842773400000000,""right"":0.47775878900000000}"
